varied_facet,n,g_coefficient,phi_coefficient
n_judges,1,0.21134254714944592,0.08340666341723822
n_judges,2,0.3396782430359566,0.15143091541346743
n_judges,3,0.4258825895360671,0.20796887205689207
n_judges,4,0.4877772163399671,0.25570332374375826
n_judges,5,0.5343744339417476,0.29654193545894575
n_judges,6,0.5707216866520874,0.3318783298705994
n_judges,7,0.5998658802535893,0.362754302899883
n_judges,8,0.623755161507582,0.3899642579346128
n_judges,9,0.6436932447620143,0.41412452512802395
n_convs,1,0.0817432765163896,0.06913419520495388
n_convs,2,0.1452254969022419,0.11598189335143284
n_convs,3,0.19595098948194734,0.14982380757690314
n_convs,4,0.23741387270534087,0.17541575450103394
n_convs,5,0.2719389540848943,0.195446732868016
n_convs,6,0.3011331059718832,0.21155165921386937
n_convs,7,0.3261425393882648,0.22478176669795985
n_convs,8,0.3478068430921044,0.23584373859152905
n_convs,9,0.36675508687866554,0.2452301787484992
n_convs,10,0.3834679115193657,0.25329496974887317
n_convs,11,0.3983188675753091,0.2602988924926006
n_convs,12,0.4116026672991441,0.26643835395700477
n_convs,13,0.4235549408926787,0.2718640960508901
n_convs,14,0.43436633538863617,0.2766937381148306
n_convs,15,0.4441927601056078,0.2810204007336437
n_convs,16,0.45316295387286204,0.28491876854438986
n_convs,17,0.46138415671660243,0.28844943748976226
n_convs,18,0.46894641776362617,0.29166208735682325
n_convs,19,0.4759259072031874,0.2945978339777222
n_convs,20,0.48238749096692024,0.2972909983397349
n_convs,21,0.48838675275890886,0.29977045454769663
n_convs,22,0.49397159705188187,0.302060669141437
n_convs,23,0.49918353097835727,0.30418251118684436
n_convs,24,0.5040586977350312,0.3061538900323878
n_convs,25,0.5086287159372783,0.3079902620383226
n_convs,26,0.5129213661448889,0.3097050366449957
n_convs,27,0.5169611560675849,0.311309904361435
n_convs,28,0.5207697887471605,0.3128151036458957
n_convs,29,0.5243665526067044,0.3142296395609861
n_convs,30,0.5277686481677076,0.3155614640728802
n_convs,31,0.5309914631160274,0.3168176256213178
n_convs,32,0.534048804998671,0.31800439390182733
n_convs,33,0.5369530989747778,0.31912736452401874
n_convs,34,0.5397155565940386,0.32019154723318005
n_convs,35,0.5423463204367525,0.3212014406299915
n_convs,36,0.5448545885493471,0.32216109573919005
n_convs,37,0.547248721893174,0.3230741703215901
n_convs,38,0.549536337451737,0.3239439754647719
n_convs,39,0.5517243891810113,0.32477351570345997
n_convs,40,0.5538192386152778,0.3255655236942062
n_convs,41,0.5558267166385308,0.3263224902876589
n_convs,42,0.5577521776847383,0.327046690695692
n_convs,43,0.559600547427917,0.3277402073324957
n_convs,44,0.561376364856409,0.32840494981262125
n_convs,45,0.5630838194880157,0.32904267251044517
n_convs,46,0.5647267843683392,0.32965499002106474
n_convs,47,0.5663088453994307,0.33024339080951687
n_convs,48,0.5678333274661964,0.33080924929124456
n_convs,49,0.5693033177611836,0.33135383655021156
n_convs,50,0.5707216866520874,0.3318783298705994
n_convs,51,0.5720911063887915,0.33238382123252863
n_convs,52,0.5734140679064694,0.3328713249008301
n_convs,53,0.5746928959470559,0.33334178421784816
n_convs,54,0.5759297626922031,0.33379607769600594
n_convs,55,0.5771267000759153,0.33423502449292253
n_subtypes,1,0.3983527601961382,0.25033839033295036
n_subtypes,2,0.4987802451431229,0.29937436874054735
n_subtypes,3,0.5445411042021008,0.3202868334350633
n_subtypes,4,0.5707216866520874,0.3318783298705994
n_subtypes,5,0.5876742971396428,0.3392448942854572
n_subtypes,6,0.5995468489597524,0.3443403466769388
n_subtypes,7,0.6083252452251786,0.3480746864741196
